material,horizon,candidate,fold,order,seasonal_order,sMAPE
5,10,arima_102,1,"(1, 0, 2)","(0, 0, 0, 0)",0.09398187279976315
5,10,arima_102,2,"(1, 0, 2)","(0, 0, 0, 0)",0.030863246530731928
5,10,arima_102,3,"(1, 0, 2)","(0, 0, 0, 0)",0.16929396731201637
5,10,arima_102,4,"(1, 0, 2)","(0, 0, 0, 0)",0.0626793100857389
5,10,arima_102,5,"(1, 0, 2)","(0, 0, 0, 0)",0.1176334334075096
5,10,arima_102,6,"(1, 0, 2)","(0, 0, 0, 0)",0.08352357688496248
5,10,arima_102,7,"(1, 0, 2)","(0, 0, 0, 0)",0.09410754863035647
5,10,arima_102,8,"(1, 0, 2)","(0, 0, 0, 0)",0.05910066320049689
5,10,arima_102,9,"(1, 0, 2)","(0, 0, 0, 0)",0.22578692574859793
5,10,arima_102,10,"(1, 0, 2)","(0, 0, 0, 0)",0.11544708389004409
5,10,arima_102,11,"(1, 0, 2)","(0, 0, 0, 0)",0.356017855982383
5,10,arima_102,12,"(1, 0, 2)","(0, 0, 0, 0)",0.12451487337734324
5,10,arima_102,13,"(1, 0, 2)","(0, 0, 0, 0)",0.061029947113571105
5,10,arima_102,14,"(1, 0, 2)","(0, 0, 0, 0)",0.08923959563501493
5,10,arima_102,15,"(1, 0, 2)","(0, 0, 0, 0)",0.06967279076611442
5,10,arima_102,16,"(1, 0, 2)","(0, 0, 0, 0)",0.10355742368925268
5,10,arima_102,17,"(1, 0, 2)","(0, 0, 0, 0)",0.11601318514060073
5,10,arima_102,18,"(1, 0, 2)","(0, 0, 0, 0)",0.08218154963164165
5,10,arima_102,19,"(1, 0, 2)","(0, 0, 0, 0)",0.07501305469678013
5,10,arima_102,20,"(1, 0, 2)","(0, 0, 0, 0)",0.07907475382577332
5,10,arima_102,21,"(1, 0, 2)","(0, 0, 0, 0)",0.08586280701230264
5,10,arima_102,22,"(1, 0, 2)","(0, 0, 0, 0)",0.04642825658227581
5,10,arima_102,23,"(1, 0, 2)","(0, 0, 0, 0)",0.10527142586772434
5,10,arima_102,24,"(1, 0, 2)","(0, 0, 0, 0)",0.07494510166416561
5,10,arima_102,25,"(1, 0, 2)","(0, 0, 0, 0)",0.06850894637126004
5,10,arima_102,26,"(1, 0, 2)","(0, 0, 0, 0)",0.04406639090292581
5,10,arima_102,27,"(1, 0, 2)","(0, 0, 0, 0)",0.13671333902918684
5,10,arima_202,1,"(2, 0, 2)","(0, 0, 0, 0)",0.09300572225317119
5,10,arima_202,2,"(2, 0, 2)","(0, 0, 0, 0)",0.03149620533060515
5,10,arima_202,3,"(2, 0, 2)","(0, 0, 0, 0)",0.16972019044412615
5,10,arima_202,4,"(2, 0, 2)","(0, 0, 0, 0)",0.06090653858449975
5,10,arima_202,5,"(2, 0, 2)","(0, 0, 0, 0)",0.11463432037198557
5,10,arima_202,6,"(2, 0, 2)","(0, 0, 0, 0)",0.08183442365118071
5,10,arima_202,7,"(2, 0, 2)","(0, 0, 0, 0)",0.09492768141248761
5,10,arima_202,8,"(2, 0, 2)","(0, 0, 0, 0)",0.059939133636217626
5,10,arima_202,9,"(2, 0, 2)","(0, 0, 0, 0)",0.22717669486873227
5,10,arima_202,10,"(2, 0, 2)","(0, 0, 0, 0)",0.11624519157335933
5,10,arima_202,11,"(2, 0, 2)","(0, 0, 0, 0)",0.35655076642926287
5,10,arima_202,12,"(2, 0, 2)","(0, 0, 0, 0)",0.12186305578648533
5,10,arima_202,13,"(2, 0, 2)","(0, 0, 0, 0)",0.058957734144443365
5,10,arima_202,14,"(2, 0, 2)","(0, 0, 0, 0)",0.08804032454956327
5,10,arima_202,15,"(2, 0, 2)","(0, 0, 0, 0)",0.06785727397251425
5,10,arima_202,16,"(2, 0, 2)","(0, 0, 0, 0)",0.10367627663704629
5,10,arima_202,17,"(2, 0, 2)","(0, 0, 0, 0)",0.11606393174771022
5,10,arima_202,18,"(2, 0, 2)","(0, 0, 0, 0)",0.08177902273338948
5,10,arima_202,19,"(2, 0, 2)","(0, 0, 0, 0)",0.0755720275272589
5,10,arima_202,20,"(2, 0, 2)","(0, 0, 0, 0)",0.07872596492385894
5,10,arima_202,21,"(2, 0, 2)","(0, 0, 0, 0)",0.08646879886627229
5,10,arima_202,22,"(2, 0, 2)","(0, 0, 0, 0)",0.04660715740721844
5,10,arima_202,23,"(2, 0, 2)","(0, 0, 0, 0)",0.1060558242395405
5,10,arima_202,24,"(2, 0, 2)","(0, 0, 0, 0)",0.07476714954368534
5,10,arima_202,25,"(2, 0, 2)","(0, 0, 0, 0)",0.06870796963665345
5,10,arima_202,26,"(2, 0, 2)","(0, 0, 0, 0)",0.043272578961621094
5,10,arima_202,27,"(2, 0, 2)","(0, 0, 0, 0)",0.13673161573806572
5,10,arima_400,1,"(4, 0, 0)","(0, 0, 0, 0)",0.08675599571643149
5,10,arima_400,2,"(4, 0, 0)","(0, 0, 0, 0)",0.0690883701198751
5,10,arima_400,3,"(4, 0, 0)","(0, 0, 0, 0)",0.1626507912049312
5,10,arima_400,4,"(4, 0, 0)","(0, 0, 0, 0)",0.07096398584414532
5,10,arima_400,5,"(4, 0, 0)","(0, 0, 0, 0)",0.1091183704817425
5,10,arima_400,6,"(4, 0, 0)","(0, 0, 0, 0)",0.07358654451938024
5,10,arima_400,7,"(4, 0, 0)","(0, 0, 0, 0)",0.10335556336279011
5,10,arima_400,8,"(4, 0, 0)","(0, 0, 0, 0)",0.06745797053404935
5,10,arima_400,9,"(4, 0, 0)","(0, 0, 0, 0)",0.20158133450257054
5,10,arima_400,10,"(4, 0, 0)","(0, 0, 0, 0)",0.23294759560406153
5,10,arima_400,11,"(4, 0, 0)","(0, 0, 0, 0)",0.27380877145537263
5,10,arima_400,12,"(4, 0, 0)","(0, 0, 0, 0)",0.07828098612206678
5,10,arima_400,13,"(4, 0, 0)","(0, 0, 0, 0)",0.055430688658162544
5,10,arima_400,14,"(4, 0, 0)","(0, 0, 0, 0)",0.0813767370140053
5,10,arima_400,15,"(4, 0, 0)","(0, 0, 0, 0)",0.10059730169569514
5,10,arima_400,16,"(4, 0, 0)","(0, 0, 0, 0)",0.10015405465247836
5,10,arima_400,17,"(4, 0, 0)","(0, 0, 0, 0)",0.12210812516587616
5,10,arima_400,18,"(4, 0, 0)","(0, 0, 0, 0)",0.07740108347713823
5,10,arima_400,19,"(4, 0, 0)","(0, 0, 0, 0)",0.06064441825828951
5,10,arima_400,20,"(4, 0, 0)","(0, 0, 0, 0)",0.0490363483789427
5,10,arima_400,21,"(4, 0, 0)","(0, 0, 0, 0)",0.12675296431046618
5,10,arima_400,22,"(4, 0, 0)","(0, 0, 0, 0)",0.04162819845533605
5,10,arima_400,23,"(4, 0, 0)","(0, 0, 0, 0)",0.08996161983075798
5,10,arima_400,24,"(4, 0, 0)","(0, 0, 0, 0)",0.08067357927894866
5,10,arima_400,25,"(4, 0, 0)","(0, 0, 0, 0)",0.047955171533532924
